Index ,Price
1,51.97
2,58.27
3,48.02
4,36.83
5,34.98
6,33.58
7,32.22
8,30.82
9,30.48
10,30.04
11,29.8
12,30.21
13,31.13
14,33.05
15,44.65
16,56.71
17,68.83
18,53.26
19,49.37
20,48.04
21,46.91
22,67.75
23,68.93
24,88.23
25,95.45
26,114.7
27,71.36
28,48.06
29,43.62
30,36.0
31,33.36
32,32.0
33,31.73
34,30.84
35,30.65
36,30.86
37,31.96
38,33.14
39,37.29
40,54.94
41,70.41
42,56.94
43,56.51
44,53.55
45,50.49
46,51.29
47,49.7
48,59.97
49,68.65
50,61.64
51,48.67
52,45.1
53,35.72
54,34.38
55,32.88
56,30.92
57,31.24
58,30.02
59,29.76
60,29.77
61,30.4
62,31.83
63,35.57
64,45.12
65,50.85
66,53.29
67,47.02
68,47.51
69,47.36
70,47.51
71,47.51
72,48.69
73,57.39
74,65.7
75,52.1
76,48.29
77,41.43
78,35.07
79,32.2
80,30.98
81,31.47
82,30.56
83,29.92
84,29.8
85,29.83
86,30.32
87,30.8
88,30.95
89,30.93
90,31.54
91,31.88
92,31.65
93,31.11
94,30.74
95,30.71
96,31.05
97,31.67
98,31.9
99,31.23
100,30.02
101,29.43
102,28.82
103,28.35
104,27.73
105,28.12
106,27.69
107,27.49
108,27.5
109,27.74
110,27.96
111,28.01
112,27.72
113,28.35
114,28.77
115,29.25
116,29.57
117,29.72
118,29.61
119,29.72
120,30.2
121,30.92
122,31.31
123,31.05
124,30.64
125,30.22
126,30.17
127,29.42
128,28.25
129,26.7
130,26.23
131,26.18
132,27.01
133,27.86
134,28.69
135,32.39
136,38.56
137,41.88
138,38.29
139,37.06
140,38.94
141,36.36
142,39.45
143,42.92
144,45.04
145,50.96
146,51.04
147,47.68
148,41.44
149,36.01
150,33.66
151,32.49
152,30.03
153,28.69
154,28.17
155,27.82
156,27.93
157,28.23
158,29.99
159,31.73
160,33.77
161,33.88
162,33.05
163,32.43
164,31.9
165,31.57
166,30.95
167,30.91
168,31.45
169,31.96
170,32.18
171,31.8
172,30.97
173,29.98
174,29.22
175,28.06
176,27.02
177,27.02
178,26.67
179,26.4
180,26.49
181,27.2
182,27.7
183,29.57
184,32.48
185,33.3
186,32.84
187,32.43
188,32.65
189,32.44
190,32.22
191,32.58
192,33.03
193,34.8
194,35.36
195,34.96
196,33.49
197,32.35
198,31.75
199,30.0
200,27.95
201,27.38
202,26.82
203,26.57
204,26.51
205,26.83
206,27.46
207,28.46
208,30.2
209,30.74
210,30.12
211,29.84
212,29.44
213,29.11
214,29.02
215,28.96
216,29.05
217,29.48
218,29.7
219,29.56
220,28.81
221,27.82
222,27.5
223,26.42
224,22.61
225,13.45
226,12.2
227,10.5
228,18.93
229,24.65
230,26.14
231,28.63
232,30.34
233,30.7
234,30.15
235,29.93
236,29.72
237,29.3
238,29.09
239,29.03
240,29.22
241,29.73
242,29.82
243,29.54
244,28.88
245,28.21
246,27.81
247,26.97
248,25.36
249,26.76
250,26.41
251,25.57
252,25.54
253,26.01
254,26.49
255,26.62
256,27.2
257,27.5
258,27.51
259,27.62
260,27.64
261,27.61
262,27.55
263,27.6
264,27.89
265,28.3
266,29.88
267,28.45
268,27.79
269,27.46
270,27.31
271,27.09
272,27.01
273,27.38
274,27.14
275,27.04
276,27.0
277,26.99
278,27.19
279,27.39
280,27.43
281,27.85
282,28.56
283,29.15
284,29.57
285,29.26
286,28.94
287,28.94
288,29.44
289,30.27
290,29.96
291,29.46
292,29.27
293,28.71
294,28.43
295,27.93
296,27.52
297,27.25
298,26.94
299,26.81
300,26.94
301,27.88
302,29.43
303,33.47
304,47.64
305,61.49
306,56.66
307,49.01
308,52.28
309,50.82
310,51.1
311,52.54
312,51.91
313,53.38
314,50.62
315,46.26
316,38.73
317,36.04
318,32.67
319,30.58
320,28.21
321,27.96
322,27.4
323,27.16
324,27.03
325,27.38
326,28.04
327,30.15
328,32.32
329,35.19
330,34.7
331,34.75
332,35.22
333,36.04
334,38.17
335,38.09
336,39.47
337,44.99
338,44.94
339,40.61
340,34.89
341,32.52
342,31.51
343,29.79
344,27.96
345,27.61
346,27.04
347,26.98
348,26.93
349,27.32
350,27.86
351,29.46
352,31.04
353,31.73
