Index,Qin,Qout,T,Tamb
0,7363.227330732266,15012.329242392869,323.01,288
1,7735.550387593546,15241.205710329989,322.96,288
2,7815.597883090303,16654.468695292016,322.79,288
3,7721.128483691345,14711.638052023918,322.73,288
4,7575.600764068415,12202.386171133247,322.51,288
5,6198.206154369248,14138.382184915266,322.19,288
6,5218.566216447407,11923.775398089372,322.13,288
7,5462.89493390516,14634.012162438767,322.29,288
8,4039.089579820852,13953.55226726938,321.98,288
9,3258.6808759319147,13143.473738433586,321.81,288
10,4984.662206354459,13692.057504869896,321.71,288
11,6490.414555677295,13986.146365272607,321.55,288
12,7717.529309525721,14906.355162981765,321.47,288
13,9993.328677851974,11230.710792187092,321.29,288
14,12447.254845938518,10873.810949698802,321.23,288
15,13186.080369448402,11288.396640804942,321.06,288
16,13018.942968244659,10797.779878781508,321.2,288
17,13931.408753767791,8834.239503324921,321.17,288
18,13767.078813788494,8484.568405663671,321.39,288
19,13767.078813788494,9393.346794115922,321.3,288
20,12352.000265542561,10489.062807202896,321.54,288
21,9877.708703689024,9576.630814531309,321.37,288
22,6565.989635603726,13271.050214757308,320.84,288
23,3084.3607030407325,12622.471703460904,321.36,288
24,2692.5314425817237,11015.94162013819,321.08,288
25,4697.05269580309,11752.988891472307,320.92,288
26,4824.288740328178,12555.11601851085,321.02,288
27,3529.1207916527433,11660.92325554773,320.68,288
28,4649.58233606964,10496.037360616854,320.38,288
29,3371.0846155647223,10863.369549818299,320.46,288
30,3618.6845085714103,11530.414257120176,320.37,288
31,3618.6845085714103,12395.451933934597,320.31,288
32,3447.1336388969466,13863.14902054975,320.07,288
33,2921.9858938549523,13228.835348669763,319.94,288
34,4301.913053619658,12607.42926108277,319.87,288
35,7339.812199017637,11249.089628026379,319.64,288
36,11321.285906975638,13523.674924638466,319.68,288
37,13331.916094230799,12167.421886483515,319.51,288
38,14488.610476298643,11229.87939100958,319.62,288
39,16112.854176602967,11524.467566874018,319.42,288
40,16578.583729589736,11764.357883439654,319.43,288
41,16982.291632643573,8658.221890317729,319.65,288
42,17231.635002111856,8889.50992240892,319.62,288
43,17352.30434645658,8312.106642105628,319.67,288
44,17052.977473568517,9295.281247968018,319.77,288
